index,neg,neu,pos,compound
325,0.281,0.719,0.0,-0.6486
326,0.368,0.632,0.0,-0.5423
327,0.0,0.942,0.058,0.2263
328,0.113,0.742,0.145,0.1531
329,0.129,0.661,0.21,0.5695
330,0.043,0.957,0.0,-0.2168
331,0.171,0.699,0.129,-0.5267
332,0.0,0.86,0.14,0.7684
333,0.0,1.0,0.0,0.0
334,0.246,0.654,0.1,-0.5719
335,0.099,0.761,0.14,0.1531
336,0.089,0.911,0.0,-0.3089
337,0.0,0.936,0.064,0.3818
338,0.284,0.716,0.0,-0.8591
339,0.145,0.855,0.0,-0.296
340,0.08,0.695,0.225,0.7845
341,0.063,0.937,0.0,-0.5514
342,0.341,0.595,0.065,-0.9133
343,0.052,0.948,0.0,-0.2465
344,0.0,0.909,0.091,0.1779
345,0.196,0.634,0.17,-0.5499
346,0.379,0.259,0.362,-0.0516
347,0.0,1.0,0.0,0.0
348,0.086,0.866,0.048,-0.3939
349,0.158,0.751,0.092,-0.5888
350,0.219,0.728,0.053,-0.8176
351,0.063,0.721,0.216,0.765
352,0.22,0.725,0.055,-0.8176
353,0.0,1.0,0.0,0.0
354,0.214,0.712,0.073,-0.8095
355,0.073,0.757,0.17,0.3818
356,0.116,0.731,0.153,0.4005
357,0.042,0.68,0.278,0.9459
358,0.165,0.835,0.0,-0.2905
359,0.245,0.628,0.127,-0.7645
360,0.236,0.764,0.0,-0.872
361,0.426,0.574,0.0,-0.8858
362,0.0,1.0,0.0,0.0
363,0.046,0.954,0.0,-0.1779
364,0.071,0.769,0.16,0.3612
365,0.044,0.874,0.082,0.4471
366,0.186,0.761,0.054,-0.6901
367,0.362,0.638,0.0,-0.8807
368,0.093,0.795,0.111,-0.0516
369,0.141,0.679,0.18,0.0683
370,0.376,0.561,0.063,-0.9576
371,0.254,0.703,0.043,-0.9428
372,0.426,0.574,0.0,-0.8856
373,0.158,0.737,0.104,-0.1901
374,0.0,0.957,0.043,0.2561
375,0.0,0.889,0.111,0.5399
376,0.455,0.545,0.0,-0.3612
377,0.242,0.631,0.127,-0.4929
378,0.06,0.861,0.079,0.2263
379,0.18,0.612,0.208,0.196
380,0.202,0.732,0.067,-0.7964
381,0.0,0.878,0.122,0.4927
382,0.0,0.694,0.306,0.765
383,0.0,1.0,0.0,0.0
384,0.076,0.872,0.052,-0.2062
385,0.207,0.709,0.084,-0.7227
386,0.066,0.804,0.13,0.3392
387,0.0,0.831,0.169,0.743
388,0.308,0.692,0.0,-0.8402
389,0.283,0.556,0.161,-0.296
390,0.0,1.0,0.0,0.0
391,0.0,1.0,0.0,0.0
392,0.228,0.772,0.0,-0.8807
393,0.173,0.786,0.041,-0.8126
394,0.0,0.575,0.425,0.5719
395,0.195,0.749,0.056,-0.8834
396,0.121,0.636,0.243,0.5228
397,0.228,0.652,0.12,-0.743
398,0.0,1.0,0.0,0.0
399,0.131,0.616,0.252,0.5477
400,0.0,0.61,0.39,0.4939
401,0.109,0.674,0.216,0.6885
402,0.0,0.89,0.11,0.5719
403,0.072,0.835,0.093,0.2146
404,0.0,1.0,0.0,0.0
405,0.158,0.802,0.04,-0.7351
406,0.112,0.888,0.0,-0.5859
407,0.266,0.611,0.124,-0.8623
408,0.0,0.885,0.115,0.296
409,0.038,0.87,0.093,0.5085
410,0.0,1.0,0.0,0.0
411,0.128,0.745,0.128,0.0
412,0.0,0.943,0.057,0.4019
413,0.129,0.805,0.066,-0.6703
414,0.175,0.767,0.058,-0.8508
415,0.059,0.815,0.127,0.555
416,0.074,0.695,0.231,0.7777
417,0.238,0.617,0.145,-0.765
418,0.356,0.567,0.078,-0.962
419,0.1,0.9,0.0,-0.5358
420,0.225,0.775,0.0,-0.4404
421,0.0,0.95,0.05,0.3612
422,0.223,0.576,0.201,-0.0772
423,0.196,0.804,0.0,-0.296
424,0.067,0.781,0.152,0.4404
425,0.231,0.731,0.038,-0.765
426,0.183,0.722,0.095,-0.6808
427,0.074,0.926,0.0,-0.3597
428,0.2,0.682,0.118,-0.6808
429,0.175,0.558,0.267,0.4798
430,0.353,0.647,0.0,-0.9735
431,0.129,0.871,0.0,-0.7383
432,0.0,0.684,0.316,0.7869
433,0.0,1.0,0.0,0.0
434,0.0,0.937,0.063,0.3612
435,0.235,0.765,0.0,-0.7947
436,0.123,0.877,0.0,-0.6486
437,0.185,0.815,0.0,-0.6124
438,0.158,0.506,0.336,0.7184
439,0.247,0.753,0.0,-0.802
440,0.184,0.816,0.0,-0.8316
441,0.224,0.776,0.0,-0.9134
442,0.0,0.789,0.211,0.2382
443,0.2,0.706,0.094,-0.5574
444,0.115,0.885,0.0,-0.5667
445,0.195,0.805,0.0,-0.8271
446,0.115,0.885,0.0,-0.5075
447,0.148,0.773,0.079,-0.5095
448,0.345,0.655,0.0,-0.964
449,0.086,0.835,0.079,-0.0772
450,0.119,0.846,0.034,-0.4019
451,0.159,0.841,0.0,-0.7783
452,0.042,0.958,0.0,-0.1901
453,0.06,0.768,0.172,0.4678
454,0.195,0.762,0.043,-0.6369
455,0.117,0.883,0.0,-0.6997
456,0.343,0.59,0.068,-0.9274
457,0.146,0.756,0.097,-0.4402
458,0.169,0.756,0.076,-0.3818
459,0.095,0.712,0.193,0.7247
460,0.0,0.748,0.252,0.6597
461,0.0,1.0,0.0,0.0
462,0.073,0.864,0.063,-0.3551
463,0.17,0.83,0.0,-0.6249
464,0.195,0.805,0.0,-0.2924
465,0.0,0.937,0.063,0.3612
466,0.184,0.583,0.233,0.4199
467,0.112,0.838,0.05,-0.6486
468,0.0,0.704,0.296,0.4497
469,0.0,0.811,0.189,0.8122
470,0.181,0.77,0.049,-0.7317
471,0.189,0.76,0.051,-0.7717
472,0.231,0.769,0.0,-0.8398
473,0.203,0.797,0.0,-0.8796
474,0.186,0.814,0.0,-0.8937
475,0.467,0.533,0.0,-0.8885
476,0.264,0.626,0.109,-0.8264
477,0.144,0.706,0.151,-0.1779
478,0.202,0.726,0.073,-0.4939
479,0.0,0.791,0.209,0.4404
480,0.271,0.729,0.0,-0.3818
481,0.043,0.634,0.323,0.9366
482,0.0,0.763,0.237,0.4767
483,0.153,0.79,0.056,-0.6486
484,0.104,0.896,0.0,-0.6996
485,0.0,0.929,0.071,0.5106
486,0.0,1.0,0.0,0.0
487,0.252,0.649,0.098,-0.7803
488,0.0,0.806,0.194,0.6486
489,0.0,1.0,0.0,0.0
490,0.081,0.666,0.253,0.5541
491,0.291,0.709,0.0,-0.9472
492,0.048,0.952,0.0,-0.128
493,0.216,0.607,0.177,-0.5423
494,0.136,0.679,0.185,0.2003
495,0.224,0.748,0.028,-0.8285
496,0.0,0.675,0.325,0.9312
497,0.23,0.77,0.0,-0.782
498,0.163,0.694,0.143,-0.2783
499,0.0,0.762,0.238,0.6486
500,0.0,0.706,0.294,0.6124
501,0.031,0.798,0.171,0.8074
502,0.178,0.755,0.067,-0.7351
503,0.16,0.803,0.036,-0.7735
504,0.044,0.898,0.058,0.1779
505,0.074,0.783,0.143,0.3612
506,0.0,0.81,0.19,0.6892
507,0.126,0.874,0.0,-0.7212
508,0.0,0.881,0.119,0.7003
509,0.269,0.667,0.064,-0.8225
510,0.0,0.772,0.228,0.9272
511,0.136,0.696,0.168,0.2263
512,0.0,0.929,0.071,0.4404
513,0.094,0.906,0.0,-0.6381
514,0.086,0.817,0.098,0.1506
515,0.313,0.687,0.0,-0.9597
516,0.344,0.579,0.077,-0.9531
517,0.356,0.644,0.0,-0.9015
518,0.148,0.852,0.0,-0.7806
519,0.151,0.81,0.04,-0.5994
520,0.119,0.775,0.106,-0.1027
521,0.276,0.609,0.115,-0.8591
522,0.151,0.782,0.067,-0.4767
523,0.037,0.864,0.099,0.4385
524,0.0,0.859,0.141,0.6652
525,0.0,0.724,0.276,0.8957
526,0.173,0.827,0.0,-0.869
527,0.053,0.947,0.0,-0.34
528,0.0,1.0,0.0,0.0
529,0.072,0.928,0.0,-0.3597
530,0.163,0.61,0.227,0.2263
531,0.221,0.734,0.045,-0.8696
532,0.338,0.662,0.0,-0.9655
533,0.284,0.716,0.0,-0.9162
534,0.198,0.658,0.143,-0.504
535,0.0,0.913,0.087,0.471
536,0.145,0.855,0.0,-0.296
537,0.086,0.771,0.143,0.5696
538,0.061,0.773,0.166,0.7044
539,0.127,0.81,0.064,-0.505
540,0.325,0.625,0.05,-0.9217
541,0.148,0.687,0.165,0.1531
542,0.0,1.0,0.0,0.0
